cate,suite,bench,duration
model_modify_expanded,polybench_gpu,gemm,15794
model_modify_expanded,polybench_gpu,3dconv,559
model_modify_expanded,polybench_gpu,covar,4639
model_modify_expanded,polybench_gpu,fdtd2d,28733
model_modify_expanded,polybench_gpu,bicg,982
model_modify_expanded,polybench_gpu,mvt,998
model_modify_expanded,polybench_gpu,corr,16357
model_modify_expanded,polybench_gpu,syrk,3458
model_modify_expanded,polybench_gpu,gesummv,478
model_modify_expanded,polybench_gpu,atax,1013
model_modify_expanded,polybench_gpu,syr2k,6693
model_modify_expanded,polybench_gpu,2dconv,4990
model_modify_expanded,parboil,histo,4291
model_modify_expanded,parboil,mri-g,16324
model_modify_expanded,parboil,spmv,221
model_modify_expanded,parboil,lbm,34234
model_modify_expanded,parboil,mri-q,444
model_modify_expanded,parboil,cutcp,846
model_modify_expanded,parboil,bfs,473
model_modify_expanded,parboil,sgemm,271
model_modify_expanded,parboil,stencil,610
model_modify_expanded,parboil,tpacf,559
model_modify_expanded,parboil,sad,14056
model_enhance_expanded,polybench_gpu,gemm,13756
model_enhance_expanded,polybench_gpu,3dconv,623
model_enhance_expanded,polybench_gpu,covar,3631
model_enhance_expanded,polybench_gpu,fdtd2d,27363
model_enhance_expanded,polybench_gpu,bicg,1046
model_enhance_expanded,polybench_gpu,mvt,1069
model_enhance_expanded,polybench_gpu,corr,14635
model_enhance_expanded,polybench_gpu,syrk,3111
model_enhance_expanded,polybench_gpu,gesummv,515
model_enhance_expanded,polybench_gpu,atax,1045
model_enhance_expanded,polybench_gpu,syr2k,7638
model_enhance_expanded,polybench_gpu,2dconv,6034
model_enhance_expanded,parboil,histo,4230
model_enhance_expanded,parboil,mri-g,12524
model_enhance_expanded,parboil,spmv,221
model_enhance_expanded,parboil,lbm,37844
model_enhance_expanded,parboil,mri-q,433
model_enhance_expanded,parboil,cutcp,920
model_enhance_expanded,parboil,bfs,680
model_enhance_expanded,parboil,sgemm,277
model_enhance_expanded,parboil,stencil,896
model_enhance_expanded,parboil,tpacf,628
model_enhance_expanded,parboil,sad,15898
trace_enhance,polybench_gpu,gemm,10479
trace_enhance,polybench_gpu,3dconv,372
trace_enhance,polybench_gpu,covar,7462
trace_enhance,polybench_gpu,fdtd2d,17423
trace_enhance,polybench_gpu,bicg,1439
trace_enhance,polybench_gpu,mvt,1458
trace_enhance,polybench_gpu,corr,23292
trace_enhance,polybench_gpu,syrk,2857
trace_enhance,polybench_gpu,gesummv,558
trace_enhance,polybench_gpu,atax,1437
trace_enhance,polybench_gpu,syr2k,5398
trace_enhance,polybench_gpu,2dconv,2161
trace_enhance,parboil,histo,8812
trace_enhance,parboil,mri-g,63724
trace_enhance,parboil,spmv,99
trace_enhance,parboil,lbm,21470
trace_enhance,parboil,mri-q,111918
trace_enhance,parboil,cutcp,24316
trace_enhance,parboil,bfs,3500
trace_enhance,parboil,sgemm,640
trace_enhance,parboil,stencil,3692
trace_enhance,parboil,tpacf,155934
trace_enhance,parboil,sad,17093
trace_base,polybench_gpu,gemm,7274
trace_base,polybench_gpu,3dconv,292
trace_base,polybench_gpu,covar,4624
trace_base,polybench_gpu,fdtd2d,17290
trace_base,polybench_gpu,bicg,600
trace_base,polybench_gpu,mvt,594
trace_base,polybench_gpu,corr,14728
trace_base,polybench_gpu,syrk,1166
trace_base,polybench_gpu,gesummv,206
trace_base,polybench_gpu,atax,599
trace_base,polybench_gpu,syr2k,1904
trace_base,polybench_gpu,2dconv,2092
trace_base,parboil,histo,5043
trace_base,parboil,mri-g,63249
trace_base,parboil,spmv,72
trace_base,parboil,lbm,25283
trace_base,parboil,mri-q,111574
trace_base,parboil,cutcp,23757
trace_base,parboil,bfs,827
trace_base,parboil,sgemm,1135
trace_base,parboil,stencil,1459
trace_base,parboil,tpacf,154194
trace_base,parboil,sad,11004
model_base,polybench_gpu,gemm,1914
model_base,polybench_gpu,3dconv,69
model_base,polybench_gpu,covar,45717
model_base,polybench_gpu,fdtd2d,323
model_base,polybench_gpu,bicg,17785
model_base,polybench_gpu,mvt,17655
model_base,polybench_gpu,corr,117120
model_base,polybench_gpu,syrk,675
model_base,polybench_gpu,gesummv,17727
model_base,polybench_gpu,atax,17219
model_base,polybench_gpu,syr2k,2019
model_base,polybench_gpu,2dconv,278
model_base,parboil,histo,7579
model_base,parboil,mri-g,725
model_base,parboil,spmv,246
model_base,parboil,lbm,1083
model_base,parboil,mri-q,189
model_base,parboil,cutcp,2980
model_base,parboil,bfs,17291
model_base,parboil,sgemm,1670
model_base,parboil,stencil,8055
model_base,parboil,tpacf,457
model_base,parboil,sad,13585
trace_enhance_expanded,polybench_gpu,gemm,45722
trace_enhance_expanded,polybench_gpu,3dconv,1199
trace_enhance_expanded,polybench_gpu,covar,10207
trace_enhance_expanded,polybench_gpu,fdtd2d,73325
trace_enhance_expanded,polybench_gpu,bicg,1415
trace_enhance_expanded,polybench_gpu,mvt,1436
trace_enhance_expanded,polybench_gpu,corr,38676
trace_enhance_expanded,polybench_gpu,syrk,5724
trace_enhance_expanded,polybench_gpu,gesummv,624
trace_enhance_expanded,polybench_gpu,atax,1517
trace_enhance_expanded,polybench_gpu,syr2k,11709
trace_enhance_expanded,polybench_gpu,2dconv,13237
trace_enhance_expanded,parboil,histo,33437
trace_enhance_expanded,parboil,mri-g,114268
trace_enhance_expanded,parboil,spmv,100
trace_enhance_expanded,parboil,lbm,75807
trace_enhance_expanded,parboil,mri-q,111725
trace_enhance_expanded,parboil,cutcp,25043
trace_enhance_expanded,parboil,bfs,3505
trace_enhance_expanded,parboil,sgemm,635
trace_enhance_expanded,parboil,stencil,3654
trace_enhance_expanded,parboil,tpacf,155574
trace_enhance_expanded,parboil,sad,78242
trace_base_expanded,polybench_gpu,gemm,19294
trace_base_expanded,polybench_gpu,3dconv,803
trace_base_expanded,polybench_gpu,covar,5911
trace_base_expanded,polybench_gpu,fdtd2d,33119
trace_base_expanded,polybench_gpu,bicg,619
trace_base_expanded,polybench_gpu,mvt,780
trace_base_expanded,polybench_gpu,corr,19914
trace_base_expanded,polybench_gpu,syrk,2590
trace_base_expanded,polybench_gpu,gesummv,234
trace_base_expanded,polybench_gpu,atax,601
trace_base_expanded,polybench_gpu,syr2k,3968
trace_base_expanded,polybench_gpu,2dconv,4910
trace_base_expanded,parboil,histo,7989
trace_base_expanded,parboil,mri-g,70894
trace_base_expanded,parboil,spmv,80
trace_base_expanded,parboil,lbm,43412
trace_base_expanded,parboil,mri-q,110914
trace_base_expanded,parboil,cutcp,24125
trace_base_expanded,parboil,bfs,837
trace_base_expanded,parboil,sgemm,469
trace_base_expanded,parboil,stencil,1458
trace_base_expanded,parboil,tpacf,154920
trace_base_expanded,parboil,sad,14800
model_modify,polybench_gpu,gemm,73
model_modify,polybench_gpu,3dconv,21
model_modify,polybench_gpu,covar,2828
model_modify,polybench_gpu,fdtd2d,111
model_modify,polybench_gpu,bicg,721
model_modify,polybench_gpu,mvt,722
model_modify,polybench_gpu,corr,7195
model_modify,polybench_gpu,syrk,127
model_modify,polybench_gpu,gesummv,281
model_modify,polybench_gpu,atax,718
model_modify,polybench_gpu,syr2k,225
model_modify,polybench_gpu,2dconv,66
model_modify,parboil,histo,720
model_modify,parboil,mri-g,212
model_modify,parboil,spmv,24
model_modify,parboil,lbm,140
model_modify,parboil,mri-q,63
model_modify,parboil,cutcp,519
model_modify,parboil,bfs,330
model_modify,parboil,sgemm,86
model_modify,parboil,stencil,457
model_modify,parboil,tpacf,75
model_modify,parboil,sad,1091
model_enhance,polybench_gpu,gemm,75
model_enhance,polybench_gpu,3dconv,11
model_enhance,polybench_gpu,covar,2185
model_enhance,polybench_gpu,fdtd2d,104
model_enhance,polybench_gpu,bicg,747
model_enhance,polybench_gpu,mvt,778
model_enhance,polybench_gpu,corr,6687
model_enhance,polybench_gpu,syrk,120
model_enhance,polybench_gpu,gesummv,314
model_enhance,polybench_gpu,atax,771
model_enhance,polybench_gpu,syr2k,215
model_enhance,polybench_gpu,2dconv,65
model_enhance,parboil,histo,639
model_enhance,parboil,mri-g,167
model_enhance,parboil,spmv,25
model_enhance,parboil,lbm,109
model_enhance,parboil,mri-q,46
model_enhance,parboil,cutcp,354
model_enhance,parboil,bfs,524
model_enhance,parboil,sgemm,94
model_enhance,parboil,stencil,711
model_enhance,parboil,tpacf,82
model_enhance,parboil,sad,1032
